text,label
Awaria routera,Sprzęt
Nie można połączyć się z siecią firmową,Sieć
Błąd w programie księgowym,Oprogramowanie
Problem z autoryzacją dwuskładnikową,Konto
Problem z autoryzacją dwuskładnikową,Konto
Awaria dysku twardego,Sprzęt
Opóźnienia w sieci,Sieć
Opóźnienia w sieci,Sieć
Aplikacja zamyka się bez ostrzeżenia,Oprogramowanie
Brak obrazu na ekranie,Sprzęt
Rozłączanie Wi-Fi,Sieć
Program do zarządzania projektami nie odpowiada,Oprogramowanie
Komputer zawiesza się,Sprzęt
Niemożność zalogowania do sieci,Sieć
Rozłączanie Wi-Fi,Sieć
Błąd aplikacji po aktualizacji,Oprogramowanie
Wolne ładowanie stron,Sieć
Konto zablokowane po aktualizacji,Konto
Brak dostępu do konta,Konto
Problemy z zasilaniem,Sprzęt
Opóźnienia w sieci,Sieć
Program do zarządzania projektami nie odpowiada,Oprogramowanie
Uszkodzony monitor,Sprzęt
Problemy z połączeniem z serwerem,Sieć
Problemy z synchronizacją plików,Oprogramowanie
Zawieszanie się aplikacji,Oprogramowanie
Brak obrazu na ekranie,Sprzęt
Problem z logowaniem,Konto
Zmiana hasła użytkownika,Konto
Problem z klawiaturą,Sprzęt
Błąd w programie księgowym,Oprogramowanie
Niemożność zalogowania do sieci,Sieć
Błąd przy logowaniu do systemu ERP,Konto
Drukarka nie działa,Sprzęt
Opóźnienia w sieci,Sieć
Zmiana hasła użytkownika,Konto
Rozłączanie Wi-Fi,Sieć
Nie można połączyć się z siecią firmową,Sieć
Awaria routera,Sprzęt
Zmiana hasła użytkownika,Konto
Problemy z połączeniem z serwerem,Sieć
Brak dostępu do internetu,Sieć
Problem z logowaniem,Konto
Zapomniane hasło,Konto
Resetowanie hasła,Konto
Aplikacja zamyka się bez ostrzeżenia,Oprogramowanie
Uszkodzony monitor,Sprzęt
Aplikacja zamyka się bez ostrzeżenia,Oprogramowanie
Uszkodzony monitor,Sprzęt
Problemy z synchronizacją plików,Oprogramowanie
Zawieszanie się aplikacji,Oprogramowanie
Problem z myszką,Sprzęt
Laptop się nie włącza,Sprzęt
Problem z licencją programu,Oprogramowanie
Problem z autoryzacją dwuskładnikową,Konto
Awaria routera,Sprzęt
Blokada konta,Konto
Aplikacja zamyka się bez ostrzeżenia,Oprogramowanie
Nie można połączyć się z siecią firmową,Sieć
Laptop się nie włącza,Sprzęt
Błąd przy logowaniu do systemu ERP,Konto
Awaria połączenia sieciowego,Sieć
Problemy z synchronizacją plików,Oprogramowanie
Problemy z synchronizacją plików,Oprogramowanie
Problem z klawiaturą,Sprzęt
Wolne ładowanie stron,Sieć
Zmiana hasła użytkownika,Konto
Problem z klawiaturą,Sprzęt
Problem z aktualizacją oprogramowania,Oprogramowanie
Zapomniane hasło,Konto
Błąd w programie księgowym,Oprogramowanie
Problemy z zasilaniem,Sprzęt
Problem z licencją programu,Oprogramowanie
Drukarka nie działa,Sprzęt
Brak dostępu do internetu,Sieć
Wolne ładowanie stron,Sieć
Problemy z połączeniem z serwerem,Sieć
Drukarka nie działa,Sprzęt
Laptop się nie włącza,Sprzęt
Opóźnienia w sieci,Sieć
Problem z aktualizacją oprogramowania,Oprogramowanie
Problemy z połączeniem z serwerem,Sieć
Problem z myszką,Sprzęt
Problem z logowaniem,Konto
Problem z logowaniem,Konto
Zawieszanie się aplikacji,Oprogramowanie
Błąd aplikacji po aktualizacji,Oprogramowanie
Problem z licencją programu,Oprogramowanie
Problemy z zasilaniem,Sprzęt
Opóźnienia w sieci,Sieć
Błąd przy logowaniu do systemu ERP,Konto
Brak dostępu do internetu,Sieć
Błąd przy logowaniu do systemu ERP,Konto
Zmiana hasła użytkownika,Konto
Problem z aktualizacją oprogramowania,Oprogramowanie
Zmiana hasła użytkownika,Konto
Brak dostępu do internetu,Sieć
Konto zablokowane po aktualizacji,Konto
Resetowanie hasła,Konto
Nie można zalogować się do poczty,Konto
Problem z autoryzacją dwuskładnikową,Konto
Laptop się nie włącza,Sprzęt
Laptop się nie włącza,Sprzęt
Komputer zawiesza się,Sprzęt
Problemy z połączeniem z serwerem,Sieć
Problemy z połączeniem z serwerem,Sieć
Problemy z synchronizacją plików,Oprogramowanie
Problem z licencją programu,Oprogramowanie
Problem z licencją programu,Oprogramowanie
Resetowanie hasła,Konto
Brak dostępu do internetu,Sieć
Drukarka nie działa,Sprzęt
Utrata połączenia z drukarką sieciową,Sieć
Problem z klawiaturą,Sprzęt
Niemożność zalogowania do sieci,Sieć
Resetowanie hasła,Konto
Nie można zalogować się do poczty,Konto
Nie działa oprogramowanie do wideokonferencji,Oprogramowanie
Aplikacja nie działa poprawnie,Oprogramowanie
Nie można połączyć się z siecią firmową,Sieć
Awaria dysku twardego,Sprzęt
Problemy z połączeniem z serwerem,Sieć
Brak obrazu na ekranie,Sprzęt
Konto zablokowane po aktualizacji,Konto
Awaria routera,Sprzęt
Problem z licencją programu,Oprogramowanie
Aplikacja nie działa poprawnie,Oprogramowanie
Zawieszanie się aplikacji,Oprogramowanie
Aplikacja nie działa poprawnie,Oprogramowanie
Błąd w programie księgowym,Oprogramowanie
Zawieszanie się aplikacji,Oprogramowanie
Uszkodzony monitor,Sprzęt
Problemy z synchronizacją plików,Oprogramowanie
Brak dostępu do konta,Konto
Problemy z VPN,Sieć
Awaria dysku twardego,Sprzęt
Problem z klawiaturą,Sprzęt
Problem z logowaniem,Konto
Problem z autoryzacją dwuskładnikową,Konto
Niemożność zalogowania do sieci,Sieć
Konto zablokowane po aktualizacji,Konto
Problem z autoryzacją dwuskładnikową,Konto
Błąd aplikacji po aktualizacji,Oprogramowanie
Nie można zalogować się do poczty,Konto
Drukarka nie działa,Sprzęt
Utrata połączenia z drukarką sieciową,Sieć
Aplikacja nie działa poprawnie,Oprogramowanie
Problemy z zasilaniem,Sprzęt
Zapomniane hasło,Konto
Opóźnienia w sieci,Sieć
Drukarka nie działa,Sprzęt
Wolne ładowanie stron,Sieć
Brak dostępu do konta,Konto
Awaria routera,Sprzęt
Nie działa oprogramowanie do wideokonferencji,Oprogramowanie
Awaria routera,Sprzęt
Nie można połączyć się z siecią firmową,Sieć
Zawieszanie się aplikacji,Oprogramowanie
Niemożność zalogowania do sieci,Sieć
Blokada konta,Konto
Wolne ładowanie stron,Sieć
Niemożność zalogowania do sieci,Sieć
Zmiana hasła użytkownika,Konto
Problemy z połączeniem z serwerem,Sieć
Błąd w programie księgowym,Oprogramowanie
Komputer zawiesza się,Sprzęt
Niemożność zalogowania do sieci,Sieć
Brak obrazu na ekranie,Sprzęt
Rozłączanie Wi-Fi,Sieć
Laptop się nie włącza,Sprzęt
Utrata połączenia z drukarką sieciową,Sieć
Problem z logowaniem,Konto
Brak dostępu do konta,Konto
Komputer zawiesza się,Sprzęt
Brak dostępu do konta,Konto
Zapomniane hasło,Konto
Zmiana hasła użytkownika,Konto
Brak dostępu do internetu,Sieć
Zawieszanie się aplikacji,Oprogramowanie
Problem z klawiaturą,Sprzęt
Błąd aplikacji po aktualizacji,Oprogramowanie
Nie można zalogować się do poczty,Konto
Problem z klawiaturą,Sprzęt
Problem z aktualizacją oprogramowania,Oprogramowanie
Brak obrazu na ekranie,Sprzęt
Resetowanie hasła,Konto
Problemy z połączeniem z serwerem,Sieć
Blokada konta,Konto
Awaria połączenia sieciowego,Sieć
Program do zarządzania projektami nie odpowiada,Oprogramowanie
Zawieszanie się aplikacji,Oprogramowanie
Problem z autoryzacją dwuskładnikową,Konto
Zawieszanie się aplikacji,Oprogramowanie
Laptop się nie włącza,Sprzęt
Problemy z zasilaniem,Sprzęt
Zawieszanie się aplikacji,Oprogramowanie
Komputer zawiesza się,Sprzęt
Błąd aplikacji po aktualizacji,Oprogramowanie
Problemy z połączeniem z serwerem,Sieć
Program do zarządzania projektami nie odpowiada,Oprogramowanie
